building_name,building_address,building_stationText,building_AFText,room_floor,room_layout,room_url
Reberty白山,東京都文京区白山1丁目10-5,都営三田線 白山駅 徒歩8分;東京メトロ南北線 東大前駅 徒歩11分;都営三田線 春日駅 徒歩13分,5年 / 3階建,2階,1K,https://www.homes.co.jp/chintai/room/8f9583258922c8114ad4854674298e44b0fbc813/
東京メトロ千代田線 根津駅 徒歩4分,東京都文京区根津1丁目17-8,東京メトロ千代田線 根津駅 徒歩4分;東京メトロ南北線 東大前駅 徒歩9分;東京メトロ千代田線 千駄木駅 徒歩12分,6年 / 10階建,9階,1K,https://www.homes.co.jp/chintai/room/84df507e346d8c5e63de3f2ff630222e99e9322b/
東京メトロ千代田線 根津駅 徒歩4分,東京都文京区根津1丁目17-8,東京メトロ千代田線 根津駅 徒歩4分;東京メトロ南北線 東大前駅 徒歩9分;東京メトロ千代田線 千駄木駅 徒歩12分,6年 / 10階建,2階,1K,https://www.homes.co.jp/chintai/room/9aa22ba2a64bd138b3a6e0d9651deacc0bce973b/
クレイノニューセイワハイツ,東京都文京区千駄木5丁目,東京メトロ南北線 本駒込駅 徒歩10分;東京メトロ千代田線 千駄木駅 徒歩14分,5年 / 2階建,1階,1K,https://www.homes.co.jp/chintai/room/17d1d8ee892212c9ecbd006814c6743812297358/
クレイノニューセイワハイツ,東京都文京区千駄木5丁目43-15,東京メトロ南北線 本駒込駅 徒歩10分;JR山手線 西日暮里駅 徒歩14分;東京メトロ千代田線 千駄木駅 徒歩14分,5年 / 2階建,1階,1K,https://www.homes.co.jp/chintai/room/c2980d4a4e58b5a3dd3d922ff5e31676cb23f33c/
文京本駒込レジデンス,東京都文京区本駒込3丁目,東京メトロ南北線 本駒込駅 徒歩9分;東京メトロ南北線 駒込駅 徒歩9分;都営三田線 千石駅 徒歩12分,3年 / 6階建,6階,1K,https://www.homes.co.jp/chintai/room/cc17a47d86022701e594d4ae0e919f1c38009314/
文京本駒込レジデンス,東京都文京区本駒込3丁目,東京メトロ南北線 本駒込駅 徒歩9分;東京メトロ南北線 駒込駅 徒歩9分;都営三田線 千石駅 徒歩12分,3年 / 6階建,2階,1K,https://www.homes.co.jp/chintai/room/8c483755663e0eaac3817599bb5ff373f7642fdb/
ログ文京センダギ,東京都文京区千駄木3丁目,JR山手線 西日暮里駅 徒歩6分;東京メトロ千代田線 千駄木駅 徒歩6分;山手線　日暮里駅 徒歩12分,8年 / 14階建,6階,1K,https://www.homes.co.jp/chintai/room/e922542971a894eef7b1c583d5e9b23cc4385ce3/
東京メトロ丸ノ内線 新大塚駅 徒歩7分,東京都文京区大塚4丁目,東京メトロ丸ノ内線 新大塚駅 徒歩7分;東京メトロ丸ノ内線 茗荷谷駅 徒歩8分;東京メトロ有楽町線 護国寺駅 徒歩13分,5年 / 4階建,3階,1K,https://www.homes.co.jp/chintai/room/6c23c84ccccea6bd18d352a57d9c55bee0d329f1/
東京メトロ丸ノ内線 新大塚駅 徒歩7分,東京都文京区大塚4丁目,東京メトロ丸ノ内線 新大塚駅 徒歩7分;東京メトロ丸ノ内線 茗荷谷駅 徒歩8分;東京メトロ有楽町線 護国寺駅 徒歩13分,5年 / 4階建,2階,ワンルーム,https://www.homes.co.jp/chintai/room/2e5bb8ece7cddf5a55db0de8ebdc008df651c2a0/
ログ文京千駄木（Log文京SENDAGI）,東京都文京区千駄木3丁目47-1,東京メトロ千代田線 千駄木駅 徒歩5分;JR山手線 西日暮里駅 徒歩6分;JR山手線 日暮里駅 徒歩12分,8年 / 14階建,6階,1K,https://www.homes.co.jp/chintai/room/4d4ec8c24bebf24cf0bb95d08423456d0d3e535f/
東京メトロ南北線 本駒込駅 徒歩10分,東京都文京区千駄木5丁目43-15,東京メトロ南北線 本駒込駅 徒歩10分;東京メトロ千代田線 千駄木駅 徒歩13分;JR山手線 西日暮里駅 徒歩14分,5年 / 2階建,1階,1K,https://www.homes.co.jp/chintai/room/6bcc7cefbea699d2cc69c4513148ecd3ddff6725/
アクサス文京東大前,東京都文京区向丘2丁目,東京メトロ南北線 東大前駅 徒歩5分;都営三田線 白山駅 徒歩9分;東京メトロ南北線 本駒込駅 徒歩10分,7年 / 8階建,3階,1K,https://www.homes.co.jp/chintai/room/47c4d57296d5dfabbee7f4048331d53ff0b1a35f/
アクサス文京東大前,東京都文京区向丘2丁目,東京メトロ南北線 東大前駅 徒歩5分;都営三田線 白山駅 徒歩9分;東京メトロ南北線 本駒込駅 徒歩10分,7年 / 8階建,2階,1K,https://www.homes.co.jp/chintai/room/2d7e8ad8898461137f8adb5d63e958361025010d/
AXAS文京東大前,東京都文京区向丘2丁目3-11,東京メトロ南北線 東大前駅 徒歩3分;都営三田線 白山駅 徒歩8分,7年 / 8階建,3階,1K,https://www.homes.co.jp/chintai/room/d69e9fcd76b72bba30dc43c99baff29b8f7fa340/
ＬＥＰＲＥ　ＥＳＴＡＴＥ1903,東京都文京区関口3丁目,東京メトロ有楽町線 江戸川橋駅 徒歩6分;東京メトロ有楽町線 護国寺駅 徒歩10分,7年 / 2階建,2階,1K,https://www.homes.co.jp/chintai/room/9ce60f456696d2d46d61e9c619aba5f0c76f5842/
